ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
22969,75,2019,31099,831,145,47.09999847,2,4,5,Merc
22970,24,2019,24099,1010,145,60.09999847,1.5,4,1,Merc
22971,25,2019,29899,1212,145,42.20000076,1.600000024,1,5,Merc
22972,31,2019,36799,3309,145,48.70000076,3,4,1,Merc
22973,25,2019,32999,2136,145,54.29999924,2,4,1,Merc
22974,35,2019,22799,14069,145,67.30000305,2.099999905,4,1,Merc
22975,35,2019,22199,12117,145,67.30000305,2.099999905,4,1,Merc
22976,31,2018,22049,20457,145,65.69999695,2,4,1,Merc
22977,31,2018,29499,6841,145,57.70000076,2,4,1,Merc
22978,37,2019,41399,3183,145,40.40000153,2,4,1,Merc
22979,25,2019,33999,1000,145,57.70000076,2,4,1,Merc
22980,24,2019,26999,8939,145,54.29999924,2,4,1,Merc
22981,25,2019,30249,4889,145,44.09999847,2,4,5,Merc
22982,13,2019,19649,14071,145,28.5,1.299999952,2,5,Merc
22983,13,2016,13349,36531,20,72.40000153,1.5,2,1,Merc
22984,91,2019,31950,3740,260,35.79999924,2.299999952,1,1,Merc
22985,25,2016,13990,57138,20,68.90000153,2.099999905,2,1,Merc
22986,13,2019,22907,1000,150,47.09999847,1.299999952,2,5,Merc
22987,25,2016,18799,6900,125,52.29999924,2,4,5,Merc
22988,37,2017,29999,15884,200,47.90000153,3,4,1,Merc
22989,13,2018,32999,11000,145,40.90000153,2,4,5,Merc
22990,25,2017,48399,15066,145,32.79999924,4,1,5,Merc
22991,25,2017,41399,8797,145,32.79999924,4,4,5,Merc
22992,25,2018,29499,1988,145,44.09999847,2,1,5,Merc
22993,13,2019,22899,320,145,56.5,2,4,1,Merc
22994,35,2018,21499,13559,145,56.5,2.099999905,4,1,Merc
22995,13,2018,17249,20278,145,68.90000153,2.099999905,4,1,Merc
22996,25,2019,40099,11267,145,29.39999962,3,4,5,Merc
22997,35,2019,23099,13581,145,67.30000305,2.099999905,4,1,Merc
22998,25,2019,28399,7430,145,61.40000153,2,4,1,Merc
22999,25,2019,19799,14251,145,46.29999924,1.5,4,5,Merc
23000,25,2019,20199,11381,145,46.29999924,1.5,4,5,Merc
23001,25,2019,19799,14301,145,46.29999924,1.5,4,5,Merc
23002,25,2019,26049,9612,145,47.09999847,1.5,4,5,Merc
23003,26,2019,26349,10893,145,51.40000153,2.200000048,4,1,Merc
23004,25,2019,29949,8371,145,57.70000076,2,4,1,Merc
